,v_5057,v_5060,v_5072,v_5069,v_5041,v_5070,v_5058,v_5043,v_5078,v_5076,v_5055,v_5053,v_958,v_5042,v_5044,v_959,v_5056,v_4395,v_4385,v_4386,v_4396,v_5054,['AGBin: Gecombineerde Verpleeginrichtingen'],v_993,v_4397,v_4398,['AGBin: Koepels en Beheerstichtingen WLZ'],v_5135,v_5085,['SBI: 87'],v_5081,['AGBin: Ziekenhuizen'],v_994,v_5076 NULL,v_5078 NULL,v_958 NULL,v_5077 NULL,v_5196 NULL,v_5194 NULL,['AGBP: Fysiotherapeuten'],v_959 NULL,['BIGP: Fysiotherapeuten'],['KWAL_P: Fysiotherapie'],v_5192 NULL,v_993 NULL,v_5193 NULL,v_994 NULL,v_5195 NULL,['AGBP: Verpleegkundigen']
56,114.0,111.5,111.5,114.0,26.0,77.01,77.01,21.0,100.0,72.9,21.0,26.0,5749747.0,15.11,12.45,4699630.0,12.45,258953.0,9409.0,30208.0,264645.0,15.11,0.0,-63142.0,5490794.0,4434985.0,0.0,8.0,19.22,0.0,0.0,0.0,803408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1173.0,1131.5,1137.5,1180.0,264.0,693.76,690.37,181.0,100.0,74.56,181.0,266.0,38115943.0,99.04,53.53,35316004.0,53.53,37300939.0,22678221.0,20389476.0,33729520.0,100.04,2.0,4209160.0,815004.0,1586484.0,0.0,27.0,3.5,1.0,86.52,0.0,4089567.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,9.0
58,403.0,403.5,425.5,434.0,75.0,350.48,345.78,76.0,100.0,74.3,99.0,116.0,20193516.0,55.81,57.45,17875278.0,68.34,19065119.0,14368264.0,12849546.0,17145853.0,66.48,0.0,-595179.0,1128397.0,729425.0,1.0,1.0,23.04,1.0,1.58,0.0,1736009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,16.0,16.5,19.5,19.0,2.0,10.54,9.56,3.0,100.0,57.0,3.0,2.0,585079.0,1.1,2.66,535637.0,2.66,585079.0,472699.0,434492.0,535637.0,1.1,0.0,36244.0,0.0,0.0,0.0,2.0,30.0,1.0,40.0,0.0,20620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,7.0,8.0,8.0,7.0,1.0,2.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,0.25,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
61,88.0,86.0,86.0,88.0,13.0,72.09,72.09,9.0,100.0,81.54,9.0,13.0,5082757.0,7.77,3.72,4477084.0,3.72,4941341.0,3818099.0,3474641.0,4443310.0,7.77,0.0,639408.0,141416.0,33774.0,0.0,1.0,14.55,0.0,0.0,0.0,2044803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
62,9.0,8.0,9.0,10.0,2.0,3.95,3.92,0.0,0.0,0.0,0.0,2.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
63,794.0,798.0,809.5,803.0,125.0,656.23,651.1,133.0,100.0,76.5,149.0,136.0,58575743.0,85.3,94.5,56675251.0,99.83,56623830.0,43001174.0,41614661.0,54799657.0,89.86,0.0,4125999.0,1951913.0,1875594.0,0.0,224.0,24.8,0.0,0.2,1.0,3112586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
64,7.0,7.0,7.0,7.0,5.0,7.0,7.0,5.0,0.0,0.0,5.0,5.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
65,1085.0,1095.0,1125.0,1127.0,284.0,669.74,632.16,304.0,100.0,85.92,334.0,338.0,41367285.0,111.22,122.31,37918219.0,139.31,37764059.0,28719155.0,27980905.0,36343165.0,145.69,0.0,1048897.0,3603226.0,1575054.0,0.0,8.0,2.82,2.0,74.1,0.0,1667423.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
66,14.0,13.5,13.5,14.0,1.0,9.47,9.47,0.0,100.0,100.0,0.0,1.0,453313.0,0.6,0.0,308142.0,0.0,453313.0,353147.0,254348.0,308142.0,0.6,0.0,219772.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,0.0,311943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,3.0,2.5,2.5,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
68,98.0,106.0,106.0,98.0,11.0,77.37,77.37,27.0,100.0,75.7,27.0,11.0,6046000.0,8.11,18.55,5788000.0,18.55,5740000.0,4243000.0,4210000.0,5698000.0,8.11,0.0,3519000.0,306000.0,90000.0,0.0,3.0,1.0,0.0,0.0,0.0,587000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
69,0.0,0.0,37.0,74.0,0.0,15.83,0.0,0.0,0.0,0.0,18.0,92.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
71,19.0,20.0,20.0,19.0,4.0,16.77,16.77,6.0,100.0,90.37,6.0,4.0,898224.0,1.36,2.19,899416.0,2.19,898224.0,740502.0,702682.0,899416.0,1.36,0.0,-81085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,4.0,4.0,5.0,5.0,1.0,4.8,3.8,1.0,0.0,0.0,1.0,1.0,0.0,0.8,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
73,555.0,540.5,543.0,560.0,109.0,482.13,478.24,80.0,100.0,64.0,117.0,151.0,32521146.0,84.25,63.72,30746951.0,97.97,31636953.0,23343101.0,22707075.0,30059284.0,122.39,0.0,3302921.0,884193.0,687667.0,0.0,9.0,0.0,0.0,0.0,1.0,9058616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74,15.0,14.0,14.0,15.0,3.0,9.8,9.8,1.0,100.0,100.0,1.0,3.0,511519.0,1.58,0.74,478522.0,0.74,511519.0,343648.0,334614.0,478522.0,1.58,0.0,174437.0,0.0,0.0,0.0,0.0,0.1,1.0,45.9,0.0,94385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2.0,1.0,1.0,2.0,2.0,1.72,1.72,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
